Australia	AUS
Austria	AUT
Belarus	BLR
Belgium	BEL
Bulgaria	BGR
Canada	CAN
Chile	CHL
CzechRepublic	CZE
Denmark	DNK
Estonia	EST
Finland	FIN
France	FRATNP
Germany	DEUTNP
Hungary	HUN
Iceland	ISL
Ireland	IRL
Israel	ISR
Italy	ITA
Japan	JPN
Latvia	LVA
Lithuania	LTU
Luxembourg	LUX
Netherlands	NLD
NewZealand	NZL_NP
Norway	NOR
Poland	POL
Portugal	PRT
Russia	RUS
Slovakia	SVK
Slovenia	SVN
Spain	ESP
Sweden	SWE
Switzerland	CHE
Taiwan	TWN
U.K.	GBR_NP
U.S.A.	USA
Ukraine	UKR
USA	USA
US	USA
U.S.	USA
